Índices de los Expedientes considerados como Reservados ,,,,,,,,,,,,,,,,,,,,,,..
,,,,,,,,,,,,,,,,,,,,,,
Clave de Sujeto obligado:,,,,,,,,,,,,,,,,,,,,,,
Sujeto obligado:,,Archivo General de la Nación ,,,,,,,,,,,,,,,,,,,,
Periodo del Índice:,,Segundo Semestre 2017,,,,,,,,,,,,,,,,,,,,
Fecha de actualización (dd/mm/aaaa):,,31/12/17 00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Área,Nombre del expediente o documento,Tema,Momento de la clasificación de la información como reservada,Plazo de reserva,Fecha de inicio de la clasificación  (dd/mm/aaaa),Fecha de término de la clasificación  (dd/mm/aaaa),Fundamento legal de la clasificación,Justificación,Razones y motivos de la clasificación,Clasificación completa o parcial,Partes o secciones que se clasifican,Fecha del acta en donde el Comité de Transparencia confirmó la clasificación  (dd/mm/aaaa),Estatus del expediente,Expediente en ampliación de plazo de reserva,Plazo de ampliación de reserva  (años),Fecha de inicio del plazo de ampliación de reserva  (dd/mm/aaaa),Fecha de término del plazo de ampliación de reserva  (dd/mm/aaaa),Fundamento legal del plazo de ampliación de reserva,Justificación del plazo de ampliación de reserva,Razones y motivos del plazo de ampliación de reserva,Clasificación completa o parcial de la ampliación de reserva,Partes o secciones que se clasifican en el plazo de ampliación de reserva
Dirección del Sistema Nacional de Archivos ,"16S.14/ Cursos de sistemas básicos de archivo impartido los días 30, 31 de octubre y 1 de noviembre 2013. ASERCA",Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","La información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Ce considera que los exámenes y los reactivos que contienen, son empleados dentro de procesos deliberativos desarrollados por servidores públicos encargados de evaluar el desempeño de los participantes; por tanto, se concluye que dicha información continuará implementándose","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",Parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller de Procesos Técnicos de Unidades de Correspondencia y Archivo de trámite del 11 al 15 de abril del sector Energía,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","La información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Ce considera que los exámenes y los reactivos que contienen, son empleados dentro de procesos deliberativos desarrollados por servidores públicos encargados de evaluar el desempeño de los participantes; por tanto, se concluye que dicha información continuará implementándose","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",Parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S4.5/ Cursos de capacitación Introduccción a la Organización de Archivos Impartido a diferentes Instituciones 23 al 27 de junio  de 2014,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","La información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Ce considera que los exámenes y los reactivos que contienen, son empleados dentro de procesos deliberativos desarrollados por servidores públicos encargados de evaluar el desempeño de los participantes; por tanto, se concluye que dicha información continuará implementándose","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",Parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Cursos de capacitación Inducción para coordinadores de Archivos 30 de junio al 2 de julio  Impartido a diferentes Instituciones ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","La información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Ce considera que los exámenes y los reactivos que contienen, son empleados dentro de procesos deliberativos desarrollados por servidores públicos encargados de evaluar el desempeño de los participantes; por tanto, se concluye que dicha información continuará implementándose","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",Parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Inducción para coordinadores de Archivos 14 al 16 julio 2014 impartido a diferentes instituciones ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso de capacitación Introducción a la Organización de Archivos del 1 al 3 septiembre impartido a SEGOB,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Cursos de Capacitación Introduccción a la Organización de Archivos Impartido a diferentes Instituciones 21 al 25 de julio del 2014  impartido a diferentes instituciones ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso de capacitación Introducción a la Organización de Archivos  impartido a Gobernación del 13 al 15 octubre 2014,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,"4S.5/ Curso de capacitación Introducción a la Organización de Archivos  del 13 al 15 octubre 2014 impartido a SEGOB, LOTENAL, PRODECON",Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso de capacitación Introducción a la Organización de ArchiVos impartido a la Secreataría de Gobernación del 25 al 27 nov. ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Taller de procesos técnicos de la unidad de correspondencia y archivo de trámite dirigido al personal de SEGOB  23 al 27 ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Taller de procesos técnicos de la unidad de correspondencia y archivo de trámite dirigido al personal de SEGOB  6 al 10 de abril ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Taller de procesos tecnicos de la Unidad de correspondencia y archivo de trámite del 20 al 24 de abril ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Taller de procesos técnicos de la Unidad de correspondencia y archivo de trámite dirigido al personal de segob del 11 al 15 de mayo,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
Dirección del Sistema Nacional de Archivos ,4S.5/ Curso Taller de procesos Técnicos de Unidades de correspondencia y archivo de trámite del 7 al 11 de septiembre impartido al Archivo General del la Nación ,Capacitación Archivistica ,Solicitud de acceso,3 años ,09/03/2017,09/03/2020,"Artículos 110, fracción VIII y 113, fracción II de la Ley Federal de Transparencia y Acceso a la Información Pública.","la información solicitada es de naturaleza reservada, toda vez que contiene las opiniones, recomendaciones o puntos de vista que forman parte de un proceso deliberativo, respecto de la cual no se ha adoptada la decisión definitiva. Es decir, existe un conjunto de fases o actividades sucesivas e integradas, en virtud que constantemente se siguen actualizando los  materiales que sirven para impartir los talleres.","Al dar a conocer la información se actualizaría un daño presente, toda vez que el Archivo General de la Nación, actualmente se encuentra impartiendo diversos talleres presenciales, a efecto de obtener recursos que coadyuven a la integración de su patrimonio como organismo descentralizado que le permita cumplir con sus obligaciones y atribuciones en materia archivística, y sus materiales son los que ocupa en los talleres que promociona para tal efecto.
De igual forma, se actualizaría un daño probable en atención que al otorgar la información que sirve de sustento para la proyección de los contenidos temáticos y de vinculación con las necesidades específicas de las personas a las que se encuentran dirigidos los talleres, podría repercutir en la disminución de las personas interesadas en tomar dichas actividades impartidas por esta Institución y en que dicha información pudiera ser utilizada por diversas organizaciones para impartir cursos con un perfil afín al que se encuentra dirigido el taller desarrollado por el Archivo General de la Nación.
Actualizaría un daño específico en cuanto a las actividades de consultoría, que se realizan en términos del artículo 23 del Reglamento de la Ley Federal de Archivos ya que impacta de manera negativa en la prestación de los servicios complementarios que se realizan y que tienen por objeto primordial el fortalecimiento del patrimonio del Archivo General de la Nación.",parcial ,"Texto del material de apoyo para impartir el taller 
Evaluación inicial y evaluación final","
13/03/2017",Clasificado,No,,,,,,,,
